gvkey,iid,datadate,tic,exchg,,,
3964,1,2024-02-29,DDS,11,,,
3969,1,2024-02-29,DIOD,14,,,
3980,1,2024-02-29,DIS,11,,,
4001,1,2024-02-29,DXYN,14,,,
4016,2,2024-02-29,DG,11,,,
4019,3,2024-02-29,WFSTF,19,,,
4019,03C,2024-02-29,WEF.,7,,,
4029,1,2024-02-29,D,11,,,
4036,1,2024-02-29,DCI,11,,,
4045,1,2024-02-29,DMLP,14,,,
4058,1,2024-02-29,DOV,11,,,
4060,1,2024-02-29,DD,11,,,
4066,1,2024-02-29,OMC,11,,,
4066,1,2024-03-31,OMC,11,,,
4091,1,2024-02-29,DCO,11,,,
4093,1,2024-02-29,DUK,11,,,
4094,3,2024-02-29,DNB,11,,,
4094,3,2024-03-31,DNB,11,,,
4108,1,2024-02-29,FLS,11,,,
4115,1,2024-02-29,DY,11,,,
4124,1,2024-02-29,DYNT,14,,,
4130,1,2024-02-29,DYSL,19,,,
4145,1,2024-02-29,RVTY,11,,,
4186,1,2024-02-29,EML,14,,,
4193,1,2024-02-29,EGP,11,,,
4194,2,2024-02-29,KODK,11,,,
4199,1,2024-02-29,ETN,11,,,
4199,1,2024-03-31,ETN,11,,,
4213,1,2024-02-29,ECL,11,,,
4225,1,2024-02-29,EDUC,14,,,
4275,1,2024-02-29,ELSE,14,,,
4311,1,2024-02-29,ELRNF,19,,,
4321,1,2024-02-29,EMR,11,,,
4321,1,2024-03-31,EMR,11,,,
4322,1,2024-02-29,MSN,12,,,
4367,5,2024-02-29,WFRD,14,,,
4383,1,2024-02-29,ATO,11,,,
4383,1,2024-03-31,ATO,11,,,
4384,1,2024-02-29,MARA,14,,,
4390,1,2024-02-29,EBF,11,,,
4409,1,2024-02-29,ENZN,19,,,
4412,3,2024-02-29,VKSC,19,,,
4415,1,2024-02-29,ETCC,19,,,
4418,1,2024-02-29,ENZ,11,,,
4423,1,2024-02-29,EFX,11,,,
4430,1,2024-02-29,EQT,11,,,
4430,1,2024-03-31,EQT,11,,,
4439,90,2024-02-29,ERIC,14,,,
4448,1,2024-02-29,ESCA,14,,,
4450,1,2024-02-29,ESP,12,,,
4462,1,2024-02-29,NEU,11,,,
4462,1,2024-03-31,NEU,11,,,
4485,1,2024-02-29,KINS,14,,,
4494,1,2024-02-29,EXPD,11,,,
4497,2,2024-02-29,BOOM,14,,,
4498,1,2024-02-29,IIIN,11,,,
4498,1,2024-03-31,IIIN,11,,,
4503,1,2024-02-29,XOM,11,,,
4503,1,2024-03-31,XOM,11,,,
4510,1,2024-02-29,FMC,11,,,
4517,1,2024-02-29,NEE,11,,,
4517,12,2024-02-29,NEE.PR,11,,,
4517,12,2024-03-31,NEE.PR,11,,,
4579,1,2024-02-29,FARM,14,,,
4598,1,2024-02-29,FDX,11,,,
4598,1,2024-03-31,FDX,11,,,
4599,1,2024-02-29,RUSMF,19,,,
4599,01C,2024-02-29,RUS.,7,,,
4601,1,2024-02-29,FNMA,19,,,
4605,1,2024-02-29,FRT,11,,,
4605,1,2024-03-31,FRT,11,,,
4607,1,2024-02-29,FSCR,19,,,
4608,1,2024-02-29,FSS,11,,,
4608,1,2024-03-31,FSS,11,,,
4611,2,2024-02-29,M,11,,,
4611,2,2024-03-31,M,11,,,
4632,2,2024-02-29,LSTA,14,,,
4640,1,2024-02-29,FITB,14,,,
4669,1,2024-02-29,FINGF,19,,,
4669,1,2024-03-31,FINGF,19,,,
4669,01C,2024-02-29,FTT.,7,,,
4669,01C,2024-03-31,FTT.,7,,,
4674,1,2024-02-29,RF,11,,,
4685,1,2024-02-29,TRMK,14,,,
4690,1,2024-02-29,FCNCA,14,,,
4690,2,2024-02-29,FCNCB,19,,,
4695,1,2024-02-29,FCIC,19,,,
4699,1,2024-02-29,MTB,11,,,
4699,1,2024-03-31,MTB,11,,,
4707,1,2024-02-29,FHRT,19,,,
4723,1,2024-02-29,USB,11,,,
4735,1,2024-02-29,FRPC,19,,,
4737,1,2024-02-29,FHN,11,,,
4737,1,2024-03-31,FHN,11,,,
4759,1,2024-02-29,BDL,12,,,
4763,3,2024-02-29,MALJF,19,,,
4763,3,2024-03-31,MALJF,19,,,
4763,03C,2024-02-29,MAL.,7,,,
4763,03C,2024-03-31,MAL.,7,,,
4771,1,2024-02-29,FLXS,14,,,
4809,1,2024-02-29,FLO,11,,,
4818,1,2024-02-29,FLR,11,,,
4826,1,2024-02-29,FONR,14,,,
4839,1,2024-02-29,F,11,,,
4839,1,2024-03-31,F,11,,,
4853,1,2024-02-29,PVEN,19,,,
4860,1,2024-02-29,FSTR,14,,,
4878,1,2024-02-29,FMNJ,19,,,
4881,1,2024-02-29,FELE,14,,,
4885,1,2024-02-29,BEN,11,,,
4900,1,2024-02-29,FEIM,14,,,
4903,1,2024-02-29,FRD,12,,,
4925,90,2024-02-29,FUJIY,19,,,
4926,1,2024-02-29,FUL,11,,,
4941,1,2024-02-29,GATX,11,,,
4973,1,2024-02-29,AJG,11,,,
4988,1,2024-02-29,TGNA,11,,,
4988,1,2024-03-31,TGNA,11,,,
4990,1,2024-02-29,GPS,11,,,
5024,1,2024-02-29,GAM,11,,,
5024,1,2024-03-31,GAM,11,,,
5027,1,2024-02-29,GAEX,19,,,
5046,1,2024-02-29,GD,11,,,
5047,1,2024-02-29,GE,11,,,
5050,1,2024-02-29,JOB,12,,,
5071,1,2024-02-29,GIS,11,,,
5072,5,2024-02-29,ALLY,11,,,
5073,19,2024-02-29,GM,11,,,
5073,19,2024-03-31,GM,11,,,
5073,19C,2024-02-29,GMM.U,7,,,
5073,19C,2024-03-31,GMM.U,7,,,
5087,1,2024-02-29,SPXC,11,,,
5109,1,2024-02-29,GCO,11,,,
5116,1,2024-02-29,GNTX,14,,,
5125,1,2024-02-29,GPC,11,,,
5149,1,2024-02-29,GTY,11,,,
5165,1,2024-02-29,GIGA,19,,,
5179,1,2024-02-29,GLT,11,,,
5180,90,2024-02-29,GSK,11,,,
5202,1,2024-02-29,WSRC,19,,,
5205,1,2024-02-29,GDRZF,19,,,
5205,01C,2024-02-29,GRZ.,9,,,
5224,1,2024-02-29,GWOX,19,,,
5234,1,2024-02-29,GT,14,,,
5237,1,2024-02-29,GRC,11,,,
5237,1,2024-03-31,GRC,11,,,
5246,1,2024-02-29,GDVTZ,19,,,
5252,1,2024-02-29,GGG,11,,,
5254,1,2024-02-29,GHM,11,,,
5256,1,2024-02-29,GWW,11,,,
5256,1,2024-03-31,GWW,11,,,
5284,1,2024-02-29,GTN.A,11,,,
5284,1,2024-03-31,GTN.A,11,,,
5284,2,2024-02-29,GTN,11,,,
5284,2,2024-03-31,GTN,11,,,
5299,01C,2024-02-29,JFS.UN,7,,,
5327,1,2024-02-29,PXFG,19,,,
5338,1,2024-02-29,GEF,11,,,
5338,2,2024-02-29,GEF.B,11,,,
5395,1,2024-02-29,GYRO,14,,,
5439,1,2024-02-29,HAL,11,,,
5439,1,2024-03-31,HAL,11,,,
5457,1,2024-02-29,JHS,11,,,
5457,1,2024-03-31,JHS,11,,,
5492,1,2024-02-29,LHX,11,,,
5492,1,2024-03-31,LHX,11,,,
5496,1,2024-02-29,NVRI,11,,,
5518,1,2024-02-29,HAS,14,,,
5520,1,2024-02-29,ALNT,14,,,
5523,1,2024-02-29,HVT,11,,,
5523,1,2024-03-31,HVT,11,,,
5523,2,2024-02-29,HVT.A,11,,,
5523,2,2024-03-31,HVT.A,11,,,
5526,1,2024-02-29,HE,11,,,
5530,1,2024-02-29,HWKN,14,,,
5530,1,2024-03-31,HWKN,14,,,
5539,1,2024-02-29,HCSG,14,,,
5543,1,2024-02-29,WELL,11,,,
5543,1,2024-03-31,WELL,11,,,
5559,4,2024-02-29,STRL,14,,,
5560,1,2024-02-29,HL,11,,,
5560,1,2024-03-31,HL,11,,,
5567,1,2024-02-29,HEI,11,,,
5567,2,2024-02-29,HEI.A,11,,,
5568,4,2024-02-29,KHC,14,,,
