Symbol,Name,Last,Change,% Change,Open,High,Low,Time,Ticker cleaned,,,Download from: https://theglobeandmail.com/investing/markets/indices/TXCX/components/
ATZ-T,Aritzia Inc,35.59,0.79,0.022701149,35.12,35.77,34.83,16:00 ET,ATZ,,,
BAM-T,Brookfield Asset Management Ltd,56.92,0.42,0.007433628,56.73,57.53,56.38,16:00 ET,BAM,,,
BB-T,Blackberry Ltd,4.14,0.02,0.004854369,4.12,4.18,3.98,16:00 ET,BB,,,
BBD-B-T,Bombardier Inc Cl B Sv,52.72,0.27,0.00514776,52.71,53.41,52.21,16:00 ET,BBD-B,,,
BBU-UN-T,Brookfield Business Partners LP,28.08,-0.22,-0.007773852,28.5,28.5,27.87,15:59 ET,BBU-UN,,,
BCE-T,BCE Inc,48.81,-0.32,-0.006513332,49.1,49.2,48.67,16:00 ET,BCE,,,
BDGI-T,Badger Infrastructure Solutions Ltd,45.62,0.56,0.012427874,45.06,45.71,44.87,16:15 ET,BDGI,,,
BEI-UN-T,Boardwalk Real Estate Investment Trust,77.32,0.25,0.003243804,76.98,77.75,76.77,16:00 ET,BEI-UN,,,
BEP-UN-T,Brookfield Renewable Partners LP,31.27,-0.81,-0.025249377,32.11,32.11,31.27,16:00 ET,BEP-UN,,,
BHC-T,Bausch Health Companies Inc,12.4,0.09,0.007311129,12.33,12.42,12.25,16:00 ET,BHC,,,
BIP-UN-T,Brookfield Infra Partners LP Units,40.11,-0.42,-0.010362694,40.52,41.05,40.1,16:00 ET,BIP-UN,,,
BIR-T,Birchcliff Energy Ltd,5.49,-0.02,-0.003629764,5.5,5.55,5.42,16:00 ET,BIR,,,
BLDP-T,Ballard Power Systems Inc,3.87,-0.16,-0.039702233,4.03,4.03,3.81,16:00 ET,BLDP,,,
BLX-T,Boralex Inc,29.02,-0.88,-0.029431438,29.7,29.77,28.88,16:00 ET,BLX,,,
BMO-T,Bank of Montreal,127.57,0.24,0.001884866,127.6,127.85,127.14,16:00 ET,BMO,,,
BN-T,Brookfield Corporation,56.81,0.17,0.003001412,56.81,57.15,56.35,16:00 ET,BN,,,
BNS-T,Bank of Nova Scotia,67.41,0.08,0.001188178,67.5,67.58,67.22,16:15 ET,BNS,,,
BTE-T,Baytex Energy Corp,4.31,0.04,0.009367681,4.27,4.31,4.25,16:00 ET,BTE,,,
